Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death
45739,US-Mexico Border,30-Jun-18,2018,Jun,1,,1,,,,,Dehydration
44943,US-Mexico Border,29-Jun-18,2018,Jun,1,,1,1,,1,,Unknown
44942,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Presumed drowning
44941,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45771,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Hyperthermia
45792,US-Mexico Border,27-Jun-18,2018,Jun,1,,1,,,,,Probable hyperthermia
44940,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,1,,Exposure
45790,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45791,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45789,US-Mexico Border,26-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44928,US-Mexico Border,25-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45788,US-Mexico Border,24-Jun-18,2018,Jun,1,,1,,1,,,Hyperthermia
44927,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45809,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45808,US-Mexico Border,23-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44939,US-Mexico Border,22-Jun-18,2018,Jun,1,,1,,,1,,Drowning
44926,US-Mexico Border,22-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45784,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45787,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45786,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45785,US-Mexico Border,21-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45783,US-Mexico Border,20-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
44925,US-Mexico Border,19-Jun-18,2018,Jun,1,,1,,,1,,Presumed drowning
45782,US-Mexico Border,19-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45781,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
44904,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45807,US-Mexico Border,18-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44890,US-Mexico Border,17-Jun-18,2018,Jun,1,,1,,,1,,Drowning
44891,US-Mexico Border,17-Jun-18,2018,Jun,5,,5,9,,,,Vehicle Accident
45780,US-Mexico Border,17-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
45806,US-Mexico Border,16-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45779,US-Mexico Border,15-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45805,US-Mexico Border,14-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44889,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45777,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Probable hyperthermia
45778,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45804,US-Mexico Border,13-Jun-18,2018,Jun,1,,1,,,1,,Unknown
45776,US-Mexico Border,12-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
45871,US-Mexico Border,11-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
45775,US-Mexico Border,11-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
44888,US-Mexico Border,10-Jun-18,2018,Jun,1,,1,,,1,,Drowning
45770,US-Mexico Border,9-Jun-18,2018,Jun,1,,1,,,1,,Presumed drowning
44908,US-Mexico Border,8-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44909,US-Mexico Border,8-Jun-18,2018,Jun,1,,1,,,,,Presumed drowning
45774,US-Mexico Border,7-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
45738,US-Mexico Border,7-Jun-18,2018,Jun,1,,1,,,,,Drowning
44931,US-Mexico Border,7-Jun-18,2018,Jun,1,,1,,,1,,Asphyxiation
44868,US-Mexico Border,7-Jun-18,2018,Jun,1,,1,,,1,,Dehydration
44866,Central America,6-Jun-18,2018,Jun,1,,1,,,1,,Fall from train
45773,US-Mexico Border,6-Jun-18,2018,Jun,1,,1,,,,,Unknown (skeletal remains)
44924,US-Mexico Border,4-Jun-18,2018,Jun,1,,1,,,,,Unknown
44912,Central America,4-Jun-18,2018,Jun,1,,1,,,1,,Hit by train
45772,US-Mexico Border,4-Jun-18,2018,Jun,1,,1,,,1,,Unknown (skeletal remains)
44923,US-Mexico Border,4-Jun-18,2018,Jun,1,,1,,,,,Unknown
44922,US-Mexico Border,4-Jun-18,2018,Jun,1,,1,,,1,,Unknown
44864,US-Mexico Border,3-Jun-18,2018,Jun,1,,1,,,1,,Drowning
44863,Central America,2-Jun-18,2018,Jun,1,,1,,,1,,Hit by vehicle
45737,US-Mexico Border,2-Jun-18,2018,Jun,1,,1,,,,,Drowning
44919,US-Mexico Border,1-Jun-18,2018,Jun,1,,1,,,,,Presumed drowning
45769,US-Mexico Border,31-May-18,2018,May,1,,1,,,1,,Presumed drowning
44862,US-Mexico Border,29-May-18,2018,May,1,,1,,,1,,Probable hyperthermia
44861,US-Mexico Border,29-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
45722,Central America,27-May-18,2018,May,1,,1,,,1,,Fall from train
44823,US-Mexico Border,26-May-18,2018,May,1,,1,,,1,,Drowning
44825,Central America,26-May-18,2018,May,1,,1,,,1,,Fall from train
44860,US-Mexico Border,25-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
44820,US-Mexico Border,24-May-18,2018,May,2,,2,,,2,,Drowning
44920,US-Mexico Border,23-May-18,2018,May,1,,1,1,,1,,Unknown
44817,US-Mexico Border,23-May-18,2018,May,1,,1,3,1,,,Shot
44921,US-Mexico Border,23-May-18,2018,May,1,,1,,,,,Unknown
44816,Central America,22-May-18,2018,May,1,,1,106,,1,,Shot
44859,US-Mexico Border,21-May-18,2018,May,1,,1,,,,,Probable hyperthermia
44814,US-Mexico Border,21-May-18,2018,May,1,,1,,,1,,Unknown
44811,US-Mexico Border,19-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
44858,US-Mexico Border,17-May-18,2018,May,1,,1,,,,,Unknown (skeletal remains)
45803,US-Mexico Border,16-May-18,2018,May,1,,1,,,,,Unknown
44857,US-Mexico Border,16-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
45840,Central America,15-May-18,2018,May,1,,1,,,1,,Hit by train
44856,US-Mexico Border,13-May-18,2018,May,1,,1,,,1,,Dehydration
44805,US-Mexico Border,13-May-18,2018,May,1,,1,,,1,,Drowning
44829,US-Mexico Border,12-May-18,2018,May,1,,1,,,1,,Drowning
44799,US-Mexico Border,11-May-18,2018,May,1,,1,,,1,,Drowning
44804,US-Mexico Border,11-May-18,2018,May,1,,1,,,1,,Drowning
45802,US-Mexico Border,11-May-18,2018,May,1,,1,,,1,,Unknown
44797,US-Mexico Border,10-May-18,2018,May,1,,1,,,,,Unknown
44796,US-Mexico Border,10-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
44855,US-Mexico Border,9-May-18,2018,May,1,,1,,,,,Unknown (skeletal remains)
44854,US-Mexico Border,8-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
44793,Central America,7-May-18,2018,May,1,,1,,,1,,"Hit by train, Train Accident"
44853,US-Mexico Border,7-May-18,2018,May,1,,1,,,,,Unknown (skeletal remains)
44852,US-Mexico Border,6-May-18,2018,May,1,,1,,1,,,Hyperthermia
44788,US-Mexico Border,3-May-18,2018,May,1,,1,,,1,,Drowning
44785,Central America,2-May-18,2018,May,1,,1,,,1,,Violence
44851,US-Mexico Border,2-May-18,2018,May,1,,1,,,1,,Unknown (skeletal remains)
44780,US-Mexico Border,29-Apr-18,2018,Apr,1,,1,,,1,,Drowning
44776,Central America,27-Apr-18,2018,Apr,1,,1,,,1,,Fall from train
44777,US-Mexico Border,26-Apr-18,2018,Apr,1,,1,,,1,,Drowning
45768,US-Mexico Border,25-Apr-18,2018,Apr,1,,1,,,,,Unknown
44850,US-Mexico Border,25-Apr-18,2018,Apr,1,,1,,,1,,Probable hyperthermia
44849,US-Mexico Border,25-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44848,US-Mexico Border,24-Apr-18,2018,Apr,1,,1,,,1,,Unknown (mummified remains)
44847,US-Mexico Border,24-Apr-18,2018,Apr,1,,1,,1,,,Unknown (skeletal remains)
44772,US-Mexico Border,23-Apr-18,2018,Apr,1,,1,14,,,,Vehicle Accident
44846,US-Mexico Border,23-Apr-18,2018,Apr,1,,1,,,,,Unknown (skeletal remains)
44771,Caribbean,22-Apr-18,2018,Apr,1,,1,,,1,,Shot
44767,South America,19-Apr-18,2018,Apr,4,,4,,,3,1,Drowning
44845,US-Mexico Border,18-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44794,Central America,17-Apr-18,2018,Apr,1,,1,,,1,,Hit by train
44764,Central America,17-Apr-18,2018,Apr,1,,1,,,1,,Hit by train
44763,US-Mexico Border,17-Apr-18,2018,Apr,1,,1,,,1,,Presumed drowning
44844,US-Mexico Border,17-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44843,US-Mexico Border,14-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44842,US-Mexico Border,13-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44758,US-Mexico Border,12-Apr-18,2018,Apr,2,,2,,,2,,Drowning
44759,Central America,12-Apr-18,2018,Apr,1,,1,,1,,,Hit by train
44840,US-Mexico Border,10-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
44841,US-Mexico Border,10-Apr-18,2018,Apr,1,,1,,,1,,Unknown (skeletal remains)
